timestamp,fatigue_score,alert_active,eye_state,yawn_detected,head_pitch,head_yaw
1771331008.8442929,89.99999999999999,1,Closed,1,168.42,22.55
1771331009.8619561,60.00000000000001,0,Closed,1,177.88,44.16
1771331010.8921874,60.00000000000001,0,Closed,0,178.06,7.39
1771331011.9116511,60.00000000000001,0,Closed,0,175.91,-17.69
1771331012.9348433,60.00000000000001,0,Closed,1,176.43,-8.05
1771331013.95277,40.0,0,Open,0,0.00,0.00
1771331014.9555535,40.0,0,Open,0,0.00,0.00
1771331015.9756532,40.0,0,Open,0,0.00,0.00
1771331016.9997513,40.0,0,Open,0,0.00,0.00
1771331018.0232892,40.0,0,Open,0,0.00,0.00
1771331019.0477295,40.0,0,Open,0,0.00,0.00
1771331020.0723865,40.0,0,Open,0,0.00,0.00
1771331021.0961456,40.0,0,Open,0,0.00,0.00
1771331022.115982,40.0,0,Open,0,0.00,0.00
1771331023.167119,30.000000000000004,0,Closed,0,177.04,-22.40
1771331024.1927972,36.00000000000001,0,Closed,0,175.32,-3.92
1771331025.214914,20.0,0,Open,0,176.58,-0.46
1771331026.2431622,20.0,0,Open,0,178.04,-9.35
1771331027.2726672,20.0,0,Open,0,177.54,-9.75
1771331028.286773,20.0,0,Open,0,175.42,-6.78
1771331029.2898443,20.0,0,Open,0,176.82,-6.52
1771331030.335821,20.0,0,Open,0,176.54,-11.85
1771331031.3562973,20.0,0,Open,0,177.32,-11.53
1771331032.3832664,20.0,0,Open,0,177.00,-10.94
1771331033.4044843,20.0,0,Open,0,174.37,-6.30
1771331034.4246147,20.0,0,Open,0,176.99,-7.06
1771331035.4544048,20.0,0,Open,0,174.41,-3.77
1771331036.4705966,20.0,0,Open,0,-178.24,-11.22
1771331037.497173,20.0,0,Open,0,-173.43,-2.14
1771331038.5197597,20.0,0,Open,0,-177.58,23.38
1771331039.5441737,20.0,0,Open,1,171.63,-10.13
1771331040.5636604,20.0,0,Open,0,175.56,-13.73
1771331041.589726,22.000000000000004,0,Closed,0,-178.17,-26.32
1771331042.6146624,20.0,0,Open,0,-173.82,-11.22
1771331043.6366372,20.0,0,Open,0,-178.77,-13.14
1771331044.659213,20.0,0,Open,0,171.44,-1.72
1771331045.6872747,20.0,0,Open,0,-178.34,-7.18
1771331046.7088916,20.0,0,Open,0,-178.32,-9.97
1771331047.7301443,22.000000000000004,0,Closed,0,177.10,-8.31
1771331048.75808,20.0,0,Open,0,-176.70,-7.46
1771331049.7750797,38.0,0,Closed,0,165.55,-8.78
1771331050.7990131,20.0,0,Open,0,173.75,-3.73
1771331051.8279343,20.0,0,Open,0,173.11,-1.37
1771331052.853169,20.0,0,Open,0,172.19,0.29
1771331053.867955,20.0,0,Open,0,173.03,-1.19
1771331054.8941343,40.0,0,Closed,0,178.71,-7.79
1771331055.9223816,20.0,0,Open,0,176.55,1.69
